comment,is_toxic
hòn ngọc viễn đông óc chó 3,1
tiên tri xàm,1
mẹ mấy thằng trộm xe chém chết mẹ chúng nó,1
ngu vaicalon,1
"jack ngu dell chịu đc , g5r , thiên an , kicm , mr cường , viruss hại , hại 1,2 , dell hiểu chơi thằng thằng hại , thương jack",1
"bắt đập chết mẹ hết , lũ trộm chó đo , đe đc tụi",1
địt mẹ mày thằng đầu buồi rẻ rách,1
hải yến bố cái thái lọ,1
xin lỗi cl,1
dan ong dan ma co rau vay troi,0
chí bảo nhung chung cc,1
ông già bắt quảng cáo ae . sói said . v,0
tao buồn cười tao chấp thằng ngơ tao ngơ chấp 1 thằng ngu ngu chấp mày nói chuyện đít tao tao mày,1
nick ảo ? đúng nick đéo vấn đề,0
luật pháp ko nghĩ,0
sẵn e lun . hôm bữa e nhặt cộng lông nhà nghỉ ac đánh rơi tìm e e xin,0
"tội chị , tốt bụng lừa",0
đặng trường chia buồn gia đình kid cận huyết trồn lường,1
thằng ad sủa .,1
my ăn chai sting vô đầu nha thầy,1
thơ triệu like,0
đóm rác cay,1
đệt 2 r bốc mộ r,0
vui ong tran dan that de thuong !,0
bán 1 dòng thuốc lá thơm,0
lỗi cmm mày ăn hối lộ xin lỗi mày bắt thua 1 thằng nik,1
trần dần cộngg sản nằm vùng bên cali,0
cởi bố ngứa mắt,1
mẹ kiếp xã hội éo đâu,1
sợ khui sủa mẹ văn,1
rip anh em,1
"tao đố mày đời chạy xe ko vi phạm , bừng bô úp bô mặt .",1
bắt dc đập gẫy tay chân tay tù xong nv ak,1
cút khỏi việt nam,1
lắm a,0
xe xôi,0
khóc đầy tổ ruồi r,1
hoàng yến đâu trêu b xem qcao lẩu phan,0
bắt vn công bằng k bay nick,1
. lon . đm . đm dòng họ ad xạo lozn,1
dã man trắng trợn,1
nhân sinh vấn đề,1
ngậm văn kém lắm công kích ib ngứa đít lắm e,1
nói chuyện bẻ lái mãi v,0
mày coi não mày load hết cmt tao trình độ tao,0
đường cùng . m nhìn mực giống đường cùng hả bản thân m bảo đường cùng . loại nịnh dái .,1
khải nguyễn giá tiền,0
đoạn đầu z mn,0
baochau hoangminh thái coi t tìm dc,0
quả báo ko chừa 1 ... đợi sớm mày,1
"văn minh ko chửi mong xem trận đấu xem sai hay là . thủ môn cho dù phạm lỗi bắt bóng ngoài vòng cấm địa chạm tay , cầu thủ bất lực quỳ mặt xem thêm",0
chừa mọi thủ đoạn bọn cướp,0
đánh sion nhập thi đấu xong tìm mấy châu âu đầu tư nợ 5 củ tỏi khổ,0
tiếc hùi hụi miếng đất nước kìa,0
đâu . chúng mày . luật nhân quả chừa đâu,1
thằng mạnh chẳng ăn thằng . vn quân đội mạnh tí nuốt đc thằng cam kìa,1
lũ quan liêu tiên sư bố chúng nó,1
gọi tuổi gà văn minh ? tkg vô học vô ơn,1
già lấy tiền sữa mua giải anh em sói said .,0
đu ma,1
kịch bản đáng sợ .,0
đcm thằng súc vật,1
hàng lazada,0
bồi cạc,1
chị tức cười ghê chị đẹp lắm,0
bố thằng hâm,1
dy dy ng khen nè a đừng quan tâm review xem thử,0
thảo tròn nhớ đồng bọn qá cố gắng,0
mở mồm độc tài,1
mày rùi mở miệng thúi quắc,1
bất lương ! nghèo khổ bán xôi vĩa hè xe phương tiện đi đứng cướp cạn cưởm mất,1
xin lỗi đ t m m y bắt lỗi thằng thủ môn l n,1
"đm cướp j ác vy ,",1
chấp đ,1
tướng hợp,0
"moẹ mấy đ đồng cảm người ta cmt hãm vcl , đồng loại với3",1
lãnh đạo vff bạc nhược !,0
mắc đ t,1
lồn,1
bắt đéo đc,1
nhìn mặt 3 hách dịch ghê !,1
me lu nha nuoc dau zo coi du me an hoi lo la gioi ko bat het thu nay j,1
lỗi conkac,1
trình nc,0
xin xin cẹc . thằng lồn,1
người ta khổ ko tha,0
bọn cướp xe đâu con người đâu,1
"tk ngu vcl xem steam đổ thừa cay dái , tạo drama nổi tk cc nổi ngu",1
cậy tiền đánh đánh luật phạp đâu,0
dốt súc vật kèo bạch kim vàng rách oai,1
hùng khâu bạc chơi t,0
phan nhuệ má,0
mong trời xanh soi thấu xui khiến lãnh đạo nước trừ bọn trung quốc đuổi hết bọn quan con cháu bọn đảng viên cs ko trừ kể cả khỏi đảng khỏi nước ko cư trú ko nhập cảnh ko chúng,1
tú ba blue,0
lập kênh xóa kênh cũ,0
tính đánh win ngựa ngựa q q,1
lũ bắt đc khấc nhẹ 2 cọng gân chân thả,1
mấy cđ dislike mấy cđ khùn lồn,1
cuộc sống,0
m học tiếng lắm ko why đmm,1
địt mẹ trọng tài,1
kkk nhõi kia 2 k5 2 k6 sáng xin mẹ tiền mua xôi trình bày,1
xa hoi tồi tệ,1
thầy đẹp trai mấy đứa,0
đậu má xã hội tranh thủ cướp lẫn,1
"khốn nạn , báo ứng .",1
kiện kakaka,0
xin lỗi cc bố vote pay mẹ facebook,1
sorry cẹc,1
luc bao 2 len kc bn tien nhi,0
cực kì thuyết ló,0
bon con người nhân quả bọn mày,1
thằng chơi tiến bịp k xanh chín,1
"rác thằng ăn cháo đá bát lừa thầy phản bạn , bỏ vợ bỏ đúng ko",1
bé ba vailone,1
loại ni bắt nhốt chết . ghét nhất thể loại ni,1
"nguyễn phước uh , tia cực tím tăng lỗi mỹ , tàu , khỏi lôi chửi nhà nước , vn ngừng sx công nghiệp ngồi đói rã họng dew bớt nóng , bớt cực tím đc đâu v",1
sorry qq trọng tài bắt qq ngta v,1
khôi nguyên bảo cay cắn cắn sáng giờ,0
sai tè le bảo miệng đời toxic chúa méo,1
48 tiếng trôi lặng lõe,0
khoe puồi,1
bọn siêng ăn nhác,1
mẹ mày trọng tài,1
trọng tài bắt nghỉ việc vĩnh viễn fifa,0
minh khang hà,0
bất đồng chính kiến tụi thân trung cộng ghép tội vn phản động .... khốn nạn bọn chó svn,1
hoàng ngọc hòa sũa cc,1
ưi,0
"chia buồn gia đình kid cận huyết sua chill lofi thêm sinh động t , ang lễ già kid",1
xin lỗi cc t nè thg lồn,1
gdinh công vs cmang . gdinh ad trốn chui lủi chó . giàu béo ghen tỵ,1
"fb fake chửi trousier kẻ ăn hại bậc thế giới . 6 trận chính thức vn ko kiếm nổi điểm , trânh 0 cú sút goal . biến trousier",1
nguyễn triệu thu thảo mệt lòn,1
kêu ngựa,0
"bọn mày thanh niên trai tráng lm ăn đàng hoàng ko chịu , thích ăn cắp ăm trộm , mong bọn mày chết sớm xã hội sạch sẽ",1
572 gia định đòi đất .... kkkkkk .. già ngu vl,1
ý thức nd kém mấy bụng phệ,1
tội mê trai,1
"tiếng sai ngữ pháp , tọc mạch , ăn nói chả hệ thống đối kháng tưởng nạn nhân !",0
nhanh dị bâyyyyyy,0
fuck your asss,1
cút cụ mày,1
má đánh lộn đồng minh r,0
khung ổn áp thầy,0
mọi ng ko đc ăn hiếp zách mãi ruồi phát sáng,1
vn,0
trả lời lạc đề nhá .... 0 điểm chổ,0
tức nhiêng tiêng chi dũ chụ chần dần bình an tức nhiêng miễn nhiễm dới di chùng ...,0
trái lane toxic bú win dct,1
mồm chân ko hoạt động tuyển thủ vn vươn tầm quốc tế,0
ahihi đồ ngốk,0
bạch kim tự hào ác z,0
fb,0
ngu kệ mẹ ngta mấy đứa sân si ngta hãy nhìn bay quá trình bay ngta ko tau đéo liên quan ghét thể loại ko thích sân si,1
xin concac đmm,1
"dẹp hết lũ sư quốc doanh , ổ phá hoại đạo pháp cơ sở bọn nằm vùng phá nát văn hóa vn",1
khóc,0
fai 1 mày khóc thuê ad . sớm mày dờ gáy,1
cave mãi cave,1
thùng rỗng kêu to đâu,1
đ m bọn phản động,1
hai súc vật đội đầu quay cắn hả,1
tụi học trò vô văn hóa,1
"đụ mẹ tao giết dòng họ , tao phá đất nước mày tao xin lỗi ?",1
sorry đỉ mẹ mày,1
piến,1
lời xin lỗi muộn màng,0
dat ngo già ăn nói ngu học thếq,1
nghe mỏ xl ghét mày đừng mày mắc lỗi nha câm mồm cút tao thằng ngu,1
ngu ngốc .,1
đúng đóm nguu idol đầu bu . ồi giẻ rách xưa gvr đ mấy ae giúp đỡ thằng xách nước bổ cam lau dọn ghế cọ nhà vệ sinh đấy .,1
mày tinh trùng tinh trùng khuyết tật,1
bắc dân đuổi đc,0
nguyễn trọng thái xạo lol,1
lời xin lỗi muộ màng,0
dũng đào clm z,0
"hack fb , cmt vô tri lắm b",0
duoc tien minh hieu đy me,1
công nhận nịnh dái ghê,1
"dm giọng lol , em út tao tát gãy",1
"bên cạnh , đứng phía ăn chửi chung mẹ j",1
mẹ mi chó aen cức,1
thảo đào văn giàu hết r công . tay nhanh não . lướt fb nhớ gắn não vô nha,1
hóng mãi gala trần . ok !,0
má fong rộng z ma la ngột ngạt me,1
sán dây tuyên giáo,1
tha đớp ít c . ứt may . đớ . p tý . t .,1
mún tìm khó kkk,0
solo ko bạch,0
công bằng,0
"đúng kiện , tin zách cút",1
đúng xả hội phát triển,0
"tụi bây toàn chửi ko hết , lông vui",1
liu liu cứng họng,0
vl phú lạc đâu,0
chi ba oi quy chi chi hoc cach giau voi nghro day chi oi,0
thằng già mày cút cụ mày,1
dù bánh mì,0
bọn kia đập chết mẹ dân,1
đom đóm mãi đỉnh .,0
ko đc z thầy,0
việt nam k 2 ma túy hết đc tình trạng . giờ trọt nghiện ăn trộm ăn cướp đủ tiền hút hít . giờ phụ hồ k đủ hút hít,0
sory cunt,1
đéo tin . chả nhẽ lộ liễu hả,1
"đù bệnh tâm thần trung tá , hèn bọn đảng cs toàn lủ tâm thần hám .",1
địt mẹ mày xin lỗi thay đổi ?,1
"hàng ngon , t sục 5 phút bắn cmm",1
đm may thay gê qá,1
mặt ngu trình ngang mặt tưởng v,1
"phạm thanh tùng dm t cười , rảnh éo chịu",1
oke bột giặt aba tinh tươm,0
"đéo mức ntn , ngoáy đồ thật .",1
mấy thằng lolll ác trời,1
giết ad đập cl thua,1
face đcm,1
"anh trai nóng tánh quả đất , tỉ số 3 0",0
đàn bà lèo lon,1
trend,0
"page thành phản động ak , dkm toàn post nhảm k",1
nguyễn nghĩa mi mô ko nứng,1
ăn mặc đ . buoi,1
lm lồn thời hết skill dell trúng bảo team địch tool clm,1
ngu bảo thủ,1
tưởng diễn hài hải ngoại .,0
tin nhắn thủ tướng đổi đc tỉ bạc k ít . lũ lụt chân ng dân tin nhắn thủ tướng mừng rơi nc mắt,0
ko đồi ăn ăn cơm tù,0
"công ty giấy ấp 8 , bình sơn phát hiện nam giới treoco lô cao su . hiện cơ quan chức năng có mặt hiện trường",0
sorry lồn,1
xử lý ngài trọng tài,0
"suốt ruộng , chẳg qtâm đâu",0
vaidai,1
"da đen trẻ trâu hôi lông , chim cút",1
"đợi vb tiếp , ko tl đừng ngta sợ im",0
địt mẹ thằng rẻ rách,1
"nhìn tố chất , câm thành tuyển thủ chuyên nghiệp thành công lắm",0
nguyễn thanh cẩm lỗ xoài rộng,0
đúng luật đền . gi bắt xe dg chạy chu dau xe hư . giảm . người ta xe lam .,0
"tất ziên , , tất ziên , , , ,",0
rút kinh nghiệm đc sài nghìn tỷ .,0
liên quân,0
ca ra quân kiểm soát rượu bia mạnh mẽ ko ra quân trấn áp tội phạm chi dễ ta ..,0
tuyển việt nam thua tiến bộ,0
đại ca kata gánh còng lưng,0
miệng vòi bò nhức nhúc,1
bọn mày cướp người ta chúng mày quả báo,1
ba chào,0
"đồng bọn giàn cảnh , giả bộ hỏi thăm đặng đồng bọn lấy xe",0
"tưởng bố , mõm",1
trị thiên tao kêu hả ? mắc m tl cmt,0
tội mê trai hả ad,0
nầy tới số chửi lũ bắc kỳ,1
mẹ mày bắt bóng vòng cấm o thẻ đỏ,1
học quan trọng . già mà còn suy nghĩ hỏng chị . tỉnh táo đu idol kiểu chớt,0
tấu hài cực mạnh abe,0
mày cút khỏi viêt nam,1
chó ngửi ngửi nghi nghi,0
kinhh,0
đánh chết cụ mày giờ nhét cụ mày còi lỗ đít,1
clm ta coi ?,0
chó hửi 2 quài,0
gặp thêm chó,1
acc clon mấy bố tin cmt thật hài vl,0
thằng thiểu não may mà trọng tài hả ! nhục,1
mong pháp luật xử lý nghiêm minh k loạn hết,0
game cu lon nay,1
tùy gu nghe nhạc . có lẽ b quen phong cách âm nhạc hồi jack bh jack kết hợp phong cách âm nhạc hơi lạ nghe,0
xin video vs,0
cay dốt đăng ăn chửi no nê,1
ngu mày chết mẹ mày lồn lồn,1
"bắt xong xin lỗi , mất sĩ khí hết cò đâu",0
cực kỳ chân chọng,0
xin tk gửi tiền,0
ăn tết đúng cách,0
xờ lờ,1
sing hàn quốc . bằng chứng ngân cài cắm 9 điệp viên đóa .,0
ảoooo,0
đéo đở dc,1
ngu nín,1
"điệu hổ ly sơn ,",0
thu tuyền phan hợp nhóm,0
nguyễn thanh quang đc í tưởng,0
dừng đúng a dừng,0
trường hợp cai éo ji . dm nc éo logic cc ji cộng đồng chửi sml cm may lun nghiệp,1
đừng sai xin lỗi trọng tài tài lương tâm bỏ đứng sân cỏ ngại ngùng tí,1
ôi dm phát biểu vây coi dân nhu đồ ngu,1
fuck you al adba saoud ali,1
đitme bắt ruồi phát sáng r nè ae,1
sory qq,1
"1,1 tr like 6 tr view",0
chúng mài thoát khỏi công an đao,1
"tuân cười khà khà , cười quài . ta chời dễ thương thật thà",0
mấy thằg óc chó,1
"thằng chó đẻ viruss , hãy khả lại bình yên jack tao .",1
nguyệt ánh công chuyện,0
cháu nhỏ đừng xạo loz bố cháu tùng,1
sống chậm k . tết,0
v,0
buồn,0
nhìn cx xinh cx điều kiện mất nhận thức ?,1
chán đời ko bk thương j ăn tiền lao động sống ko bk lao động tự kiếm ăn ăn trộm cắp hoài vả ko chừng la khóc,1
đume lấy tiền đô đường quyền,1
"kata đánh , kda rank thách đấu kia .... gánh 3 thằng vàng bẩn dư sức , xui tự nhiên thêm 1 thằng đct bẩn vẻ hơi quá sức kata",1
xin vd pro,0
"đất nước qatar mọi rợ sinh thằng mày . mày mang mọi rợ đất nước mày khắp , trận bóng đá viet nam vs thailand",1
chúng mày chụp mũ vãi lồn chúng mày hiểu thằng cường auto chửi thằng bán nước ?,1
"tao mày giống sát chết ngồi quán , quỷ",1
"yogurt cứu lok , 5 ty",0
phãn nộ chó,1
địt mẹ lông,1
"mẹ , , mấy thú ..",1
thảo quần què nầy,0
phá đội tuyển câu lạc bộ cũ 1 kịch bản đội tuyển việt nam tiếp tục phá khá . con người giống việt nam gọi ngu nâu dốt b xem thêm,0
địt m . suốt lằng nhằng . nghỉ nghỉ cụ m . mấy chó . suốt đăng tin hãm lồn,1
tuyền phạm,0
lỗi chị nhung,0
"đóm , , đám ruồi lũ ong bro , đụng nhẹ nhạy cảm chích bro bầy đàn liền",1
chó việt cộng lo ăn cứt chó tàu đâu quan tâm phù vs chả xa,1
gửi mấy bò,1
xin cặc đjtme bỏ nghề dùm t,1
cảnh có lẽ a rầy hầy,0
mê cách ảnh thua vs anti,0
cau mong e gai tìm chiec xe,0
xin lozz cc xl,1
mầy,0
cám ơn ad thay đổi nhỏ,0
dm bữa ni đường 3 m ca đứng,1
trend hàn quốc học mót việt nam,0
ngu bố ngta . đăng cát stt ngta gặp k cãi vs ruồi đít led toàn k não mệt kinh,1
kia thần kinh nứng,1
a di da phat,0
miền nam gà ác,1
vip kkk đúng tuổi lồn,0
thích nhây,0
"làm ăn buôn bán kể cả đàn bà đàn ông , ngồi xe đeo khẩu trang tỉnh , ngồi xe mua gọi tỉnh , ,",0
nick sập r,0
tinh trùng khuyết tật xaolol mua ko xài đâu,1
cl dit conbamay,1
"chương trình riết nhảm , bế tắc . mời bọn tục tỉu , vô văn hóa tv .",1
mấy đứa mõm phật . bắt đc đập chết bảo ác . người ta cày mấy .,1
ca bằng chứng camera quay mắt nha chứng minh xe đạp ca coi tát tỉnh đấy,0
"a mấy đứa bợ đít , a e a .",1
"me mấy thằng lồn vi phạm luật giao thông , bắt hết con mẹ tụi mấy .",1
mực đần,1
nhục mặt chửi roi giờ chơi chửi mướn đề vk trả tien kaaaaaa,1
nick fake thật nhanh hoanganh tú,0
8 h sáng nhaaa,0
tài sản nhân dân hạch hẹ kiếm bánh mì thu biến dân thành sắt vụn bao csgt đứng đường nhân dân ta phát triển,0
tử hình con người thiếu ý thức cộng đồng nv ko . chả tuấn khỉ vs kẻ sát nhân máu lạnh,1
mấy thiểu năng trí tuệ táp v,1
đóm toàn rác,1
ủng hộ k atm,0
"thất vọng kết quả đội indonesia khiến đội tiến bộ . chịu trách nhiệm kết quả , trận đấu cuối cùng , chiến đấu ba điểm vinh dự . hi vọng động viên . hãy động viên",0
24 h lụm ngây,0
xong r xinloi,0
bọn khốn,1
"10 ngàn nè , 2 chục nè đường quyền hông",0
rùi a,0
xem lũ chó cộng sản ko dân chủ nước đất nước tự do kìa .,1
đánh ngu người ta chửi đánh ngu ngta nói xấu vãi l thật,1
"chó , đéo",1
bồi thường 5 củ đc k,0
trọng tài lòn bóng chạm tay bên cầu thủ thái lan thổi,1
b ns hài vãi,0
coi tu chu den khach.met dai qua.noi chui ma deo thay chui toan la quang xam lo ko,1
địt con mẹ bọn khốn nạn,1
"fan cu tùng sói , vãi thật , thương yêu đc , già đâu fan đứa cháu vãi lờ",1
"mong pháp luật , sử đúng tội . ko chúng nó cậy tiền , quyền coi mạng cỏ rác .",1
bi cháy nổ công an chịu trách nhiệm bồi thường vô điều kiện,0
đéo tiền bọn kinh doanh ngu chó . tiền,1
chia buồn gia đình kid cận huyết nghèo hèn sua chill lofi đưa già kid an nghỉ,1
xin cc,1
cuối dc dùng facebook đấy,0
dùng toàn luật dầu mỏ bóng đá sọt rác đâu dơ mức trọng tài,1
thk hassakon thái lan chó giết thịt . việt nam thắng thái lan,1
loại ăn bẩn sống lâu nhục chó,1
chơi vs đc kêu chơi hết,0
"địt mẹ suốt mị dân , nâng bi tự sướng",1
xám xí,1
ae bình tĩnh,0
mẹ thằng chó đẻ mày bắt bóng ngu chó,1
oiiiii nàng công chúa,0
xin thằng cha già mày,1
luật ăn trộm xe bắn bỏ xem thử trộm ko,0
trẻ trâu đép,1
nguyễn minh phương ngủ luônnn,0
pha ke đầu tư,0
kien tran 10 tỷ căng,0
ngu câm,1
công vinh thay tốt,0
"thật sự , kda cày thuê thuyết phục , đề nghị khởi điểm mức giá bk3 kc4 10 đồng lẻ 1 xu đéo tranh dành đâu",1
mồm kêu chơi hết mình bet 800 k tồ ? bạn bè loại m vãi l bi a,1
điên xóm đao,1
nozza nguyễn mấy câu tiếng mi,0
bảo ghép v,0
troussier cút khỏi việt nam,1
thằng chó ngọc bưng nồi cơm ngồi khóc bịnh viện ung bướu hít thở không khí ô nhiễm !,1
lũ khốn nạn,1
xin lỗi xong tinh trùng khuyết tật,1
chi ba khac moi k co cailoncat khong,1
2 nói chuyện co gái đồng bọn đánh lạc hướng,0
mạnh nguyễn quang huy nguyễn minh quân nguyễn huy so djt tk bà già m,1
chó ăn cức,1
face r tui xin fb trọng tài,0
bắt lol,1
hát quảng cáo,0
bệnh dịch corona cuvid 19 lai tạo . giặc corona cuvid 20 lai tạo . 2 loại thuột dạng báo đời,1
mất nc . khỏi quầy,0
love 3,0
"thằng ngu , đầu đất",1
thằng điên văn câu like rẻ tiền cút,1
phúc báo dịch sát đít du lịch đéo mang việt nam đéo hiểu mấy đĩ giàu,1
why l n mẹ mày,1
mày sv,1
nhìn mặt cụ đảng rằm 7,0
xin lìn dân tao,1
chia buồn gia đình kid cận huyết sua chill lofi,1
hòa bình công lý ? làm loạn 3,0
gái mẹ m,1
xin lỗi qq nha,1
xin mả bố m nè,1
biến . loại bảo thủ . ko giỏi ko ngu dốt đâu .,1
máu lồn gái thái đố đầy mồm thằng trọng tài .,1
quan trọng đồng lòng ý thức,0
a chăm chỉ nayd a cố găng lỗ đít a mọc đinh kiểu đấm xoa .. rap fofun vc,1
hoài đặng tối cosplay sion ae xem,0
tuan tran tui lặp câu chửi hơi,0
nguyễn kim chi lây khỉ rồi sao .,0
chuẩn bị bay acc trọng tài,0
mẹ . bắt đáp chết mẹ,1
giờ tao hối hận nc 1 bò,1
xin cai mẹ mày .,1
đấu khẩu chim lợn,1
đm mày thang chó bán độ,1
tiến lê bố m thích đấy đạo đức cl,1
ngỡ black widow,0
xl loz mụn rr ku,1
câu ae gửi gắm tiệp,0
thần . gió chieu nao . che chiei đo . khau ngiep.chet ko đau thai,1
xin phép copy,0
ăn cấp quả báo,1
mẹ mày trốn học thầy tao khịa,1
mai lúm thật k,0
mé xem manh rõ ràng đcm,1
mẹ nhaaaa,0
"công núi thái sơn , nghĩa mẹ nước nguồn chảy , rảnh phụ mẹ giúp , cực kì thuyết phục mả cha chúng mày",1
"bọn lừa ưa nặng , quen đưa đít nc thông",1
lun . sợ,0
hảo hán,0
toàn bãi rác công cộng,1
hlv huấn luyện đầu bòi đá chả sút dc phát loz ra hồn,1
link thật,0
mày ko thay đổi ko khóa mõm khóa tay mày,1
,0
cực kì thuyết phục,0
mất hết,0
xong ăn lol,1
mấy chó doi ăn vô tu ăn,1
tao địt vk mầy tao sorry mầy chịu,1
mất dạy,1
che mặt,0
5 tỉ tiền bàn phím,0
mẹ tổ mi giờ xin lỗi đc ích chó,1
chửi ô đúng quad bênh k nổi,0
mày ăn tiền người ta free đéo đâu chơi bời v mực lz,1
thu nguyễn giả vờ nè,0
tập cj lâm khánh chi đẹp nhìn hiền dễ thương ghê,0
đánh đb dcu m,1
nhóm bóng đá thailan k . sang chúc mừng nước mua trọng tài thành công,0
chạy đâu thoát ca tích cực điều tra .,0
cực kỳ thuyết phục êi,0
bán kh lo ..,0
dell m xl,1
mai koo dc lam fan cung,0
má trọng tài bull shit,1
xem live đánh 3 game 2 game bú rank bkim hài vkl,0
"ô nhiễm thành phố hôi chết mẹ bảo sương mù xuất hiện đẹp đà lạt thứ hai , hà nội đẹp sapa , đà lạt sapa",1
j đâu chưởi việt nam trưởi người ta đúng bã quan tài đổ lệ,1
khốn nan . súc vật .,1
dừa lờ t lắm chừa tật chơi dọng dọng mẹ chặt,1
thảo ng thua dốt av qa v,0
mê trai đầu thai mê,0
đừng tự biến thành nạn nhân trời,0
nguyễn chất ti vi hỏng đúng,0
tham nhũng hèn chúng nó giàu,1
ngô sĩ phú eh,0
thằng trọng tài xúc nô,1
noctune huyết trượng đầu ?,0
"t chả lên tiếng toàn lấp lửng ng hại , lấy luật sư hù thiên hạ , lấy niềm tin tụi fan . rẻ rách",1
thằng chó ăn hại bất tài,1
mửa dái t âhhahah,1
kda toàn âm lính ko game fam gần time,0
ngu thua khóc lóc l,1
chúng mày ko nhịn tham ô cửa quyền .,1
khá tú,0
thời ha,0
chả tk già đầu nc kiểu nguu m tao thật bớt sỹ,1
"h xem clip 2 var , 2 bố chơi game toxic nhma công nhận thẳng thắn đ ưa nổi th quyền kalis thật , kiểu đm cùn nghề bẩn tính thật",1
vcl,1
"thấm vãi l , đống cứt bay chả dám phản bác kkk",1
trọng tài mua . thái lan nhìu tiền .,0
bọn chống cộng già sợ chết,1
đăng ninh ke me m,1
xong trận trọng tài đổi nghề,0
linda minh hiếu nhì hihi,0
"hình như đằng chữ hotel , bỏ qua bước hôn má",0
cmt học c2 đâu nhóc ác đâu c2 nói chuyện đéo tỏa lịch sự,1
lữ bố cao bằng chất,0
thầy ba dơ lắm,1
cúp địt mm ah,1
"đấy , địt mẹ bọn thành phố đòi bình đẳng cộng điểm , chúng mày sống thử hộ tao",1
đúng xem mấy clip nây tha đůöc nhìn mõm góm,1
địt cụ m bắt lồn,1
kkk,0
xin an cút,1
jasmine bui tứ quý chặt đc đôi heo hết,0
oanh võ học quan trọng bé . học tư duy đúng sai kkkk,0
pháp luật . công an . chính quyền lm tụi lộng hành,0
mom ko moc dc nga voi,1
tị tào lao,1
acc fake mấy ba,0
mẹ ăn cơm ăn cức đâu bênh ido nguuu v gái ngta v khôn,1
lũ an biếng chiếm đoạt tài sản trời tru đất diệt,1
"tóm lại a chung ngáo đá toàn lung tung , hầu như phát biểu chuẩn mực thương dân thủ đô đứng đầu vô liêm sỉ ......... tốt a í trại cai tiền kkkkkkkk",1
lắm 35 ng cbi hỏng cănng cháu thpt nghỉ,0
lun jack,0
mực kèo vs vayne,0
xin lỗi mẹ mày,1
dám khinh thường tài t,0
trang đồ xinh,0
ko sợ khui bí mật động trời cố giấu,0
hồ vy thề y chang,0
xin vĩnh biệt trọng tài fb trọng tài ko đc lâu đâu,0
dep wa,0
nghèo gặp cặn bã,1
xôi ngon !,0
kon mẹ riết tụi công an điên,1
chết cụ nội m,1
xong hết đường,0
"thoát lưới trời , thời 4.0 trộm cướp , 5 10 người ta điều tra phút mốt toi",0
chó chết,1
xin xin th m,1
bọn hại lỡ tụi đau công an bắt bỏ tù .,0
chiu,0
bọn khốn nạn gặp ma,1
người ta chồng thơ dại .,0
cạo râu kìa bóng lông xiên,1
chuyển giới,0
hiếu bến tre lũ haha cặn bã,1
ôi fake,1
đéo ngoa xh nát vcl ế,1
vn .... 1 đất nước tự do ngôn luận thứ xa sĩ .... vãi vn ...,1
lỗi cặc bộ mặt hãm lồnnnnnn,1
thùy trang kokkai pham,0
chán thật,0
luật sư nguyễn thơm xóa hết bé ? khóa commnet luật ko bào chữa,0
đm thằng thớt page đúng thánh tổ lái kiểu đéo quay đc . phi tên lửa mõm ít thui k lái đường bom nổ chết mẹ mày đấy .,1
"m chửi cố zô kêu việt nam thua giờ xin lỗi lòng tự trọng ha , ăn tiền cố gần hết trận xin lỗi , đc ko nghỉ",1
vô chửi,1
thẻ đỏ trọng tài,0
top mạnh gig,0
"nguyễn hồng phúc má , nghỉ trọng tài , trọng tài cứt",1
"thử trộm xe ngân hàng tiệm vàng coi , trưa trộm chiều lụm liền , dân đen . mua e",0
cảnh giác chim moi,0
xh vô cảm,0
"mo mom biet ngu.nghi dung tu nhin ,",1
cày thuê đâu ní,0
nhìn mặt chó ngu,1
thích p . giúp đỡ ngèo . dmcs . đéo cặc hết toàn mầu,1
tiền k xem trọng sau này cháu húp,0
loại cách ly vĩnh viễn,1
thầy tụi bay nè,0
"nhi mày thuộc thể loại vi khuẩn , vi rút hả . mày ch . ết mịa mày nè",1
kể cả mở nắp bồn cầu đái nhẹ nhàng thanh lịch . đm rớt vài giọt mép bồn cầu t nhìn tức nhức nách,1
công kích z 3,0
"công nghệ môi trường nhật cản trở tham nhũng công chức búa liềm , đúng hài sản",1
ghê d . giỏi m táp hết mấy ng cmt bênh m . t ủng hộ,1
"j97 ổn lào nhận vơ hả , ăn cắp công sức ngkhac ko ngại chịu r",1
trẻ trâu,0
sáng tỏ ?,0
bỏ tật n ng lạ,0
thần kinh tọa,0
"bán xôi . noi xôi , mua . lắm , bàn kinh tế chính trị hả . trai tươm tướp",0
3 thằng tồi chúng mày xấu mặt đàn ông bọn tao,0
"đền cc nhá , nước ng ta phá hoại , dân đéo đồng ý nhá , tay sai tàu đồng ý . cút hết nước",1
hhhh vả hâhhh t cười ẻ trò hề,0
tốt giết bỏ vài thành phần óc chó,1
chừa tội me trai nha trai vô nha kkkk,0
ad page quan tâm đâu . quan tâm đểu xoáy . đm ad,1
t nhìn clgv,1
top dog,1
xin mẹ mày,1
philippe troussier bách nhục,1
lo soi mói ngta xem ny mày ngta nút lưỡi kìa thằng ngu .. ngta đăng bán acc đọc chữ éo đâu cmt ... thứ học ko chốn,1
". tìm hiểu dùm nhen , ko tây ăn cứt ta ăn cứt nhen !",1
hanh le happy story,0
tự kỉ mệt mỏi gặp ảnh đéo đỡ nổi,1
nàng cạnh tui,0
"hanh viet giúp mẹ giúp , soi soi mã chúng mày",1
chơi gêm rên ác thiệt,0
